Date,Close,daily_return,volume,ewma_short,ewma_long,crossover_long,crossover_short,crossover_signal,short_vol,long_vol,vol_trend_long,vol_trend_short,vol_trend_signal,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal,Short_Volume,Long_Volume,SMA_Volume_Ratio,crossover_vol_long,crossover_vol_short,crossover_vol_signal,ATR1,ATR2,ATR3,TrueRange,crossover_atr_entry,crossover_atr_exit,crossover_atr_signal
2017-07-10,142.79568481445312,-0.004799545695754359,2402200.0,141.2213636103039,140.43461334344525,1.0,0.0,1.0,0.008561639885653465,0.007784906476000449,0.0,-1.0,-1.0,140.53835372924806,1.7423144578287328,142.2806681870768,138.79603927141932,0.0,-1.0,-1.0,2427560.0,2397986.6666666665,1.0123325678763853,1.0,0.0,1.0,1.3699951171875,0.2599945068359375,1.1100006103515625,1.3699951171875,0.0,-1.0,-1.0
2017-07-11,142.23561096191406,-0.003922204324779299,2008800.0,141.35584222528203,140.51402575932985,1.0,0.0,1.0,0.008220303349175584,0.007672889847041144,0.0,-1.0,-1.0,140.83400802612306,1.4696360972657483,142.3036441233888,139.3643719288573,0.0,0.0,0.0,2609180.0,2314320.0,1.127406754467835,1.0,0.0,1.0,1.8700103759765625,0.3600006103515625,1.510009765625,1.8700103759765625,0.0,-1.0,-1.0
2017-07-12,143.76895141601562,0.010780285216422714,2094900.0,141.67479377403578,140.6533226967493,1.0,0.0,1.0,0.008389869058807875,0.0077841328788170695,0.0,-1.0,-1.0,141.14435195922852,1.3958366675927794,142.5401886268213,139.74851529163573,0.0,-1.0,-1.0,2528700.0,2213020.0,1.1426466999846363,1.0,0.0,1.0,1.4799957275390625,1.839996337890625,0.3600006103515625,1.839996337890625,0.0,-1.0,-1.0
2017-07-13,142.35496520996094,-0.009835129157777067,3169700.0,141.76445078421756,140.724091433601,1.0,0.0,1.0,0.008903457459290056,0.007935367872684798,0.0,-1.0,-1.0,141.3445152282715,1.2541344653584956,142.59864969363,140.090380762913,0.0,0.0,0.0,2758680.0,2261100.0,1.2200610322409446,1.0,0.0,1.0,2.1999969482421875,0.040008544921875,2.2400054931640625,2.2400054931640625,0.0,-1.0,-1.0
2017-07-14,142.5753631591797,0.0015482280431433626,2440200.0,141.87108915897824,140.79899900508525,1.0,0.0,1.0,0.008301139858649356,0.007770560612500189,0.0,-1.0,-1.0,141.5332015991211,1.1290636899705198,142.6622652890916,140.4041379091506,0.0,0.0,0.0,2423160.0,2290193.3333333335,1.0580591449339065,1.0,0.0,1.0,0.7700042724609375,0.4600067138671875,0.30999755859375,0.7700042724609375,0.0,0.0,0.0
2017-07-17,142.55694580078125,-0.00012917630360775867,2408700.0,141.9610972365225,140.86828087980413,1.0,0.0,1.0,0.007743228890933803,0.007613555483861497,0.0,-1.0,-1.0,141.68332290649414,1.04888545642842,142.73220836292256,140.63443745006572,0.0,0.0,0.0,2424460.0,2303126.6666666665,1.0526820062002669,1.0,0.0,1.0,0.7400054931640625,0.160003662109375,0.5800018310546875,0.7400054931640625,0.0,0.0,0.0
2017-07-18,141.3633575439453,-0.008372712042413855,3890300.0,141.88279292674503,140.8873043603081,1.0,0.0,1.0,0.007884376287735001,0.0076687396880302855,0.0,-1.0,-1.0,141.7209701538086,1.0215042651647905,142.7424744189734,140.6994658886438,0.0,0.0,0.0,2800760.0,2405086.6666666665,1.164515208045171,1.0,0.0,1.0,1.9000091552734375,0.010009765625,1.8899993896484375,1.9000091552734375,0.0,-1.0,-1.0
2017-07-19,141.29908752441406,-0.00045464412170082014,3072200.0,141.80644555242807,140.9027464887858,1.0,0.0,1.0,0.00734983816458699,0.007521494952068648,1.0,0.0,1.0,141.71270904541015,1.0243532941512916,142.73706233956145,140.68835575125885,0.0,0.0,0.0,2996220.0,2467300.0,1.2143719855712722,1.0,0.0,1.0,0.980010986328125,0.5,0.480010986328125,0.980010986328125,0.0,-1.0,-1.0
2017-07-20,141.59286499023438,0.0020791179261476778,2240200.0,141.77854730433864,140.9280263916212,1.0,0.0,1.0,0.006910817033696181,0.007386886368864614,1.0,0.0,1.0,141.73474578857423,1.01636854241721,142.75111433099144,140.71837724615702,0.0,0.0,0.0,2810320.0,2529793.3333333335,1.1108891635416858,1.0,0.0,1.0,1.6699981689453125,1.3300018310546875,0.339996337890625,1.6699981689453125,0.0,-1.0,-1.0
2017-07-21,141.3265838623047,-0.0018806112013345366,3522400.0,141.71958021093943,140.94229970528508,1.0,0.0,1.0,0.006471891456782831,0.007262723463084241,1.0,0.0,1.0,141.69434356689453,1.0156962510708814,142.71003981796542,140.67864731582364,0.0,0.0,0.0,3026760.0,2632893.3333333335,1.1495946158092238,1.0,0.0,1.0,1.410003662109375,0.489990234375,0.920013427734375,1.410003662109375,0.0,-1.0,-1.0
