Date,Close,daily_return,volume,ewma_short,ewma_long,crossover_long,crossover_short,crossover_signal,short_vol,long_vol,vol_trend_long,vol_trend_short,vol_trend_signal,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal,Short_Volume,Long_Volume,SMA_Volume_Ratio,crossover_vol_long,crossover_vol_short,crossover_vol_signal,ATR1,ATR2,ATR3,TrueRange,crossover_atr_entry,crossover_atr_exit,crossover_atr_signal
2019-08-05,1788.5999755859375,-0.031136235611155305,431400,1879.3249253172542,1833.6579877911454,1.0,0.0,1.0,0.015364742262962942,0.01581712139735252,1.0,0.0,1.0,1887.6964965820312,35.17286316493436,1922.8693597469655,1852.5236334170968,1.0,0.0,1.0,290300.0,271320.0,1.069954297508477,1.0,0.0,1.0,46.8900146484375,26.0999755859375,72.989990234375,72.989990234375,0.0,-1.0,-1.0
2019-08-06,1786.52001953125,-0.0011628961663191495,393900,1867.3113825398996,1833.0086995041568,1.0,0.0,1.0,0.014487523953922695,0.015708206029326585,1.0,0.0,1.0,1883.1289978027344,41.819382459481794,1924.9483802622162,1841.3096153432525,1.0,0.0,1.0,327580.0,280306.6666666667,1.1686486229367834,1.0,0.0,1.0,48.6700439453125,27.3900146484375,21.280029296875,48.6700439453125,0.0,-1.0,-1.0
2019-08-07,1821.56005859375,0.019613572016782488,542300,1861.388899426614,1832.85100460726,1.0,0.0,1.0,0.016266985894295215,0.015771191020258354,0.0,-1.0,-1.0,1880.7375,43.959277578322286,1924.6967775783223,1836.7782224216776,1.0,0.0,1.0,382040.0,297473.3333333333,1.2842831850473992,1.0,0.0,1.0,71.199951171875,39.679931640625,31.52001953125,71.199951171875,0.0,-1.0,-1.0
2019-08-08,1941.010009765625,0.06557563150791235,797000,1871.6958073097362,1834.3407890267779,1.0,0.0,1.0,0.028287374679882682,0.017436551468571534,0.0,-1.0,-1.0,1884.0794982910156,45.93027239415592,1930.0097706851716,1838.1492258968597,0.0,-1.0,-1.0,493760.0,335233.3333333333,1.4728845580192902,1.0,0.0,1.0,63.81005859375,137.25,73.43994140625,137.25,0.0,-1.0,-1.0
2019-08-09,1917.68994140625,-0.012014398814043648,402000,1877.6497220602125,1835.4888342892712,1.0,0.0,1.0,0.027115367009801536,0.017382359613429404,0.0,-1.0,-1.0,1885.8399963378906,46.536530576302425,1932.3765269141932,1839.303465761588,0.0,0.0,0.0,513320.0,348833.3333333333,1.4715336837075967,1.0,0.0,1.0,30.6099853515625,13.3900146484375,44.0,44.0,0.0,-1.0,-1.0
2019-08-12,1916.8900146484375,-0.00041713039242718963,281100,1882.7293558318536,1836.6100408875882,1.0,0.0,1.0,0.025336968544106095,0.0172627970960389,0.0,-1.0,-1.0,1887.5889953613282,47.03571093851773,1934.624706299846,1840.5532844228105,0.0,0.0,0.0,483260.0,348946.6666666667,1.3849107791066446,1.0,0.0,1.0,35.6199951171875,9.10009765625,26.5198974609375,35.6199951171875,0.0,-1.0,-1.0
2019-08-13,1943.18994140625,0.013720102122101174,384300,1890.5559445772456,1838.0780454727678,1.0,0.0,1.0,0.02393120074283168,0.017210378864434172,0.0,-1.0,-1.0,1890.3034912109374,48.65408546480064,1938.957576675738,1841.6494057461368,0.0,-1.0,-1.0,481340.0,359933.3333333333,1.337303204297092,1.0,0.0,1.0,56.22998046875,47.010009765625,9.219970703125,56.22998046875,0.0,-1.0,-1.0
2019-08-14,1891.18994140625,-0.026760122050842106,440400,1890.6380151096323,1838.8095905705613,1.0,0.0,1.0,0.024823557845682177,0.01739574260004895,0.0,-1.0,-1.0,1891.4759887695313,48.363404946866716,1939.839393716398,1843.1125838226646,0.0,0.0,0.0,460960.0,375153.3333333333,1.2287242549713007,1.0,0.0,1.0,36.27001953125,16.9599609375,53.22998046875,53.22998046875,0.0,-1.0,-1.0
2019-08-15,1904.6700439453125,0.007127841706390914,290500,1892.4544533382236,1839.716724168579,1.0,0.0,1.0,0.02328002393360457,0.017292611568024894,0.0,-1.0,-1.0,1892.4139892578125,48.43164807296255,1940.8456373307752,1843.98234118485,0.0,0.0,0.0,359660.0,377980.0,0.951531827080798,0.0,-1.0,-1.0,45.8399658203125,28.52001953125,17.3199462890625,45.8399658203125,0.0,-1.0,-1.0
2019-08-16,1922.18994140625,0.009198389777080207,240800,1896.3036955187445,1840.8526677128946,1.0,0.0,1.0,0.021896371316377797,0.017202204451371748,0.0,-1.0,-1.0,1894.4189880371093,48.81031363754298,1943.2293016746523,1845.6086743995663,0.0,0.0,0.0,327420.0,368580.0,0.8883281784144554,0.0,-1.0,-1.0,31.449951171875,31.7899169921875,0.3399658203125,31.7899169921875,0.0,-1.0,-1.0
2019-08-19,1943.72998046875,0.011205988855992777,283400,1902.44300139048,1842.2696379728957,1.0,0.0,1.0,0.020664799042087643,0.01712691385159542,0.0,-1.0,-1.0,1896.9204895019532,50.03808780872427,1946.9585773106774,1846.882401693229,0.0,0.0,0.0,327880.0,367146.6666666667,0.8930490993608367,0.0,-1.0,-1.0,28.469970703125,37.6900634765625,9.2200927734375,37.6900634765625,0.0,-1.0,-1.0
2019-08-20,1934.4000244140625,-0.004800026829054449,230400,1906.5798200196157,1843.5385787857117,1.0,0.0,1.0,0.019492688873071887,0.017021657369286222,0.0,-1.0,-1.0,1898.6279907226562,50.73549213851849,1949.3634828611748,1847.8924985841377,0.0,0.0,0.0,297100.0,368673.3333333333,0.8058624617999675,0.0,-1.0,-1.0,22.9100341796875,8.3900146484375,14.52001953125,22.9100341796875,0.0,-1.0,-1.0
2019-08-21,1955.75,0.011037001300909566,203000,1912.9448721207045,1845.0840927086065,1.0,0.0,1.0,0.01843571174025503,0.016946125319528386,0.0,-1.0,-1.0,1900.4529907226563,52.152992176087494,1952.6059828987438,1848.2999985465688,0.0,-1.0,-1.0,249620.0,364206.6666666667,0.6853800955501455,0.0,-1.0,-1.0,17.9000244140625,23.199951171875,5.2999267578125,23.199951171875,0.0,-1.0,-1.0
2019-08-22,1952.469970703125,-0.0016771209494439443,204600,1918.0613738678642,1846.5631345257045,1.0,0.0,1.0,0.01729486879771331,0.016831868519537743,0.0,-1.0,-1.0,1901.7699890136719,53.15841505181454,1954.9284040654863,1848.6115739618574,0.0,0.0,0.0,232440.0,361953.3333333333,0.6421822334370914,0.0,-1.0,-1.0,39.219970703125,11.77001953125,27.449951171875,39.219970703125,0.0,-1.0,-1.0
2019-08-23,1898.6700439453125,-0.027554803692288354,303400,1915.551177132451,1847.2808066091209,1.0,0.0,1.0,0.019290164957300803,0.0170443961879621,0.0,-1.0,-1.0,1898.3609924316406,50.90357477822952,1949.2645672098702,1847.457417653411,0.0,0.0,0.0,244960.0,361900.0,0.6768720641061067,0.0,-1.0,-1.0,58.85009765625,0.5399169921875,59.3900146484375,59.3900146484375,0.0,-1.0,-1.0
2019-08-26,1916.81005859375,0.009554063754407593,219200,1915.714138628493,1848.2384322977553,1.0,0.0,1.0,0.018376892281720136,0.016959395970916932,0.0,-1.0,-1.0,1898.2239929199218,50.84720203077449,1949.0711949506963,1847.3767908891473,0.0,0.0,0.0,232120.0,347753.3333333333,0.6674846155320822,0.0,-1.0,-1.0,16.280029296875,19.8299560546875,3.5499267578125,19.8299560546875,0.0,-1.0,-1.0
2019-08-27,1919.989990234375,0.001658970656152503,276200,1916.2676452103037,1849.2266601565216,1.0,0.0,1.0,0.017153054657214725,0.01684260051545732,0.0,-1.0,-1.0,1898.393994140625,50.91747337502108,1949.311467515646,1847.476520765604,0.0,0.0,0.0,241280.0,339906.6666666667,0.7098419173890872,0.0,-1.0,-1.0,19.4700927734375,14.989990234375,4.4801025390625,19.4700927734375,0.0,-1.0,-1.0
2019-08-28,1942.0,0.011463606517520653,228300,1919.598684042894,1850.5044119815802,1.0,0.0,1.0,0.016456780279107786,0.01677369401953045,1.0,0.0,1.0,1901.1634948730468,51.74248534341311,1952.90598021646,1849.4210095296337,0.0,0.0,0.0,246340.0,318973.3333333333,0.7722902645989216,0.0,-1.0,-1.0,44.3800048828125,27.9599609375,16.4200439453125,44.3800048828125,0.0,-1.0,-1.0
2019-08-29,1957.1400146484375,0.0077960940517185495,312800,1924.4583881428957,1851.9730783192774,1.0,0.0,1.0,0.015492290752510669,0.016677703460868696,1.0,0.0,1.0,1905.0274963378906,52.93955446026679,1957.9670507981575,1852.0879418776237,0.0,0.0,0.0,267980.0,286693.3333333333,0.9347270021393359,0.0,-1.0,-1.0,28.760009765625,34.760009765625,6.0,34.760009765625,0.0,-1.0,-1.0
2019-08-30,1966.4100341796875,0.004736513209002702,270900,1929.8890050911589,1853.5491821964238,1.0,0.0,1.0,0.014473177581662916,0.01656845615928859,1.0,0.0,1.0,1911.0440002441405,52.7248913372446,1963.768891581385,1858.319108906896,0.0,-1.0,-1.0,261480.0,277953.3333333333,0.9407334564555202,0.0,-1.0,-1.0,20.22998046875,16.0899658203125,4.1400146484375,20.22998046875,0.0,-1.0,-1.0
2019-09-03,1941.780029296875,-0.012525365745037598,341500,1931.4282914764208,1854.764351107683,1.0,0.0,1.0,0.014533199833363684,0.01652956519312971,1.0,0.0,1.0,1918.7030029296875,44.483780029560606,1963.1867829592481,1874.2192229001269,0.0,0.0,0.0,285940.0,281980.0,1.0140435491878856,1.0,0.0,1.0,36.47998046875,1.489990234375,34.989990234375,36.47998046875,0.0,-1.0,-1.0
2019-09-04,1958.7900390625,0.00876000860498305,280000,1934.9702542886725,1856.1970485658712,1.0,0.0,1.0,0.01383199804187516,0.016441779880406363,1.0,0.0,1.0,1927.31650390625,32.64490643994718,1959.9614103461972,1894.671597466303,0.0,0.0,0.0,286700.0,275026.6666666667,1.0424443690308818,1.0,0.0,1.0,27.85009765625,21.780029296875,6.070068359375,27.85009765625,0.0,-1.0,-1.0
2019-09-05,1994.43994140625,0.018199961013081634,440300,1942.6685717869987,1858.1009937095375,1.0,0.0,1.0,0.014092735523256246,0.01645303183184316,1.0,0.0,1.0,1935.960498046875,25.20950724544264,1961.1700052923177,1910.7509908014324,0.0,-1.0,-1.0,329100.0,275020.0,1.1966402443458657,1.0,0.0,1.0,43.5,52.14990234375,8.64990234375,52.14990234375,0.0,-1.0,-1.0
2019-09-06,1967.6300048828125,-0.013442338356167371,413000,1945.8998152405734,1859.6094701815962,1.0,0.0,1.0,0.014487360980379883,0.016428086413575557,1.0,0.0,1.0,1937.2914978027343,26.174409703527523,1963.4659075062618,1911.1170880992067,0.0,-1.0,-1.0,349140.0,283186.6666666667,1.2328970290503318,1.0,0.0,1.0,43.5899658203125,11.9000244140625,31.68994140625,43.5899658203125,0.0,-1.0,-1.0
2019-09-09,1992.25,0.012512512543563226,369700,1951.8998205488017,1861.4362382370311,1.0,0.0,1.0,0.014024133010778025,0.01637062803387023,1.0,0.0,1.0,1941.0195007324219,28.446765218896402,1969.4662659513183,1912.5727355135255,0.0,-1.0,-1.0,368900.0,291780.0,1.2643087257522792,1.0,0.0,1.0,21.1300048828125,26.8800048828125,5.75,26.8800048828125,0.0,-1.0,-1.0
